cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8A,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8A,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8A,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8A,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8A,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9M,p9M_A,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
14,0518,11B156,01,40015,1,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,2,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,1,2,1,2,2,2, ,2,0,0,0,0,25,3,2,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2, ,1,2,2,1,1,1,16755,45,1,03,3
14,0518,11B156,01,40015,2,1,0,02,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,2,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,1,1,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,1,2,1,2,2,2, ,2,100,100,0,0,35,3,2,3,3,2,2,2,2,2,2,1,1,1,1,2,1,2, ,1,2,2,1,1,1,13181,45,2,03,3
14,0518,11B156,01,40015,4,1,0,01,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,2,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,1,2,1,2,2,2, ,2,50,100,50,50,30,3,2,3,3,2,2,2,2,2,2,1,1,1,1,2,1,2, ,1,2,2,2,1,1,16050,43,1,03,3
14,0518,11B156,01,40015,3,1,1,01,0,1,0,0,2,1,1,1,1,1,2,2,1,2,1,2,1,2, ,2,2,2,1,1,2,2,1,2, ,2,2,2,1,2,1,2,1,2, ,2,2,2,2,2,1,2,1,2, ,2,2,2,1,2,2,2,1,2, ,2,150,200,100,100,40,2,2,3,3,2,1,1,2,2,2,1,1,1,1,2,1,3, ,1,2,2,1,1,1,18867,23,1,03,3
14,0518,12B156,01,40018,4,1,0,02,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2, ,2,1,2,1,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, ,2,1,2,2,2,1,2,2,2, ,2,1,2,2,2,1,2,2,2, ,2,30,150,30,0,25,2,2,2,3,2,1,2,2,2,2,1,2,2,1,2,1,3, ,1,2,2,1,1,1,13460,52,2,02,6
14,0518,12B156,01,40018,2,1,0,01,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,2, ,2,0,0,0,0,0,16758,68,1,02,2
14,0518,12B156,01,40018,3,1,0,02,0,0,0,0,5,1,1,1,1,1,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,1,1,2, ,2,2,1,2,2,2,1,1,2, ,2,2,1,2,2,2,1,1,2, ,2,1,2,2,2,2,2,1,2, ,2,100,500,200,100,60,2,3,3,2,1,2,1,2,2,1,1,1,1,1,1,1,4, ,1,1,1,1,1,1,15603,27,2,04,3
14,0518,12B156,01,40018,1,1,0,02,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,1,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,1,2,1,2,2,2, ,2,0,0,0,0,0,3,3,3,4,3,2,2,2,2,2,1,2,2,1,2,1,2, ,1,1,2,1,1,1,38871,66,2,04,3
14,0518,13A161,01,40020,3,1,0,02,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1,2,2,2, ,2,2,1,1,1,1,2,2,2, ,2,2,2,1,2,1,2,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,1,1,2,1,2,2,2, ,2,0,300,0,0,50,4,2,4,4,2,2,2,2,2,2,1,1,1,1,2,1,2, ,1,2,2,2,1,1,17362,46,1,03,3
14,0518,13A161,01,40020,2,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1,2,2,2, ,2,2,2,2,1,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,1,2,2, ,2,1,2,1,2,1,2,2,2, ,2,0,100,0,0,20,4,2,4,3,2,2,2,2,2,2,1,2,2,1,2,1,2, ,1,2,2,2,1,1,7889,65,2,02,6
