Causa de la defunción,Total,,Hombres,Mujeres,No especificado
"X85 Agresión con drogas, medicamentos y sustancias biológicas",9,,7,2,0
X86 Agresión con sustancia corrosiva,4,,3,1,0
X87 Agresión con plaguicidas,10,,6,4,0
X88 Agresión con gases y vapores,12,,10,2,0
X89 Agresión con otros productos químicos y sustancias nocivas,5,,5,0,0
especificadas,,,,,
X90 Agresión con productos químicos y sustancias nocivas no,12,,8,4,0
especificadas,,,,,
"X91 Agresión por ahorcamiento, estrangulamiento y sofocación",2 094,,1 537,551,6
X92 Agresión por ahogamiento y sumersión,75,,59,16,0
X93 Agresión con disparo de arma corta,1 043,,951,91,1
"X94 Agresión con disparo de rifle, escopeta y arma larga",226,,209,17,0
"X95 Agresión con disparo de otras armas de fuego, y las no",20 049,,18 443,1 590,16
especificadas,,,,,
X96 Agresión con material explosivo,3,,3,0,0
"X97 Agresión con humo, fuego y llamas",219,,166,43,10
X99 Agresión con objeto cortante,3 840,,3 328,503,9
Y00 Agresión con objeto romo o sin filo,359,,311,48,0
Y01 Agresión por empujón desde un lugar elevado,32,,26,6,0
Y02 Agresión por empujar o colocar a la víctima delante de objeto,5,,4,1,0
en movimiento,,,,,
Y03 Agresión por colisión de vehículo de motor,8,,5,3,0
Y04 Agresión con fuerza corporal,89,,81,8,0
Y05 Agresión sexual con fuerza corporal,3,,0,3,0
Y06 Negligencia y abandono,27,,19,8,0
Y07 Otros síndromes de maltrato,14,,7,6,1
Y08 Agresión por otros medios especificados,23,,22,1,0
Y09 Agresión por medios no especificados,3 013,,2 561,416,36
Estados Unidos Mexicanos,31 174,,27 771,3 324,79
