"CD","PER","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1_1","P1_2","P1_3","P1_4","P1_5","P2_1","P2_2","P2_3","P2_4","P2_5","P3_1_1","P3_1_2","P3_1_3","P3_1_4","P3_1_5","P3_1_6","P3_1_7","P3_1_8","P3_1_8ES","P3_1_9","P3_2_1","P3_2_2","P3_2_3","P3_2_4","P3_2_5","P3_2_6","P3_2_7","P3_2_8","P3_2_8ES","P3_2_9","P3_3_1","P3_3_2","P3_3_3","P3_3_4","P3_3_5","P3_3_6","P3_3_7","P3_3_8","P3_3_8ES","P3_3_9","P3_4_1","P3_4_2","P3_4_3","P3_4_4","P3_4_5","P3_4_6","P3_4_7","P3_4_8","P3_4_8ES","P3_4_9","P3_5_1","P3_5_2","P3_5_3","P3_5_4","P3_5_5","P3_5_6","P3_5_7","P3_5_8","P3_5_8ES","P3_5_9","P4_1","P4_2","P4_3","P4_4","P4_5","P5_1","P5_2","P5_3","P5_4","P5_5","P6_1","P6_2","P6_3","P6_4","P6_5","P7","P8_1","P8_2","P8_3","P8_4","P8_5","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","FACTOR","EDAD","SEXO","NIVEL","ANIO"
"14","0916","13B144","01","40077","4","1","0","01",0,3,0,0,5,1,1,1,1,1,2,1,2,1,2,2,1,2,,2,2,2,2,1,2,1,1,2,,2,2,2,2,2,2,2,1,2,,2,2,1,2,2,2,2,1,2,,2,2,2,1,2,1,2,1,2,,2,200,300,100,100,50,2,2,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,17060,"50","1","07","5"
"14","0916","13B144","01","40077","1","1","1","02",0,1,0,0,3,1,1,1,1,1,1,2,2,2,2,2,1,2,,2,2,2,1,2,2,2,1,2,,2,2,2,2,1,2,2,1,2,,2,2,2,2,2,2,1,1,2,,2,2,2,2,2,1,2,1,2,,2,30,350,80,100,50,3,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,5,1,2,2,1,1,1,15281,"35","2","07","5"
"14","0916","13B144","01","40077","2","1","0","01",0,2,0,0,2,1,1,1,1,1,2,1,1,2,2,2,1,2,,2,2,2,1,2,1,2,1,2,,2,2,2,2,2,2,2,1,2,,2,2,2,2,2,1,2,1,2,,2,2,2,1,2,1,2,1,2,,2,200,400,100,0,35,3,2,3,3,2,1,1,9,2,2,1,1,1,1,2,1,5,1,2,2,1,1,1,16106,"39","1","07","5"
"14","0916","12A158","01","40129","1","1","0","02",0,0,0,0,0,1,1,2,2,1,2,2,1,2,2,2,2,2,,2,2,2,2,1,1,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,2,2,1,2,1,2,2,2,,2,0,100,0,0,20,4,2,3,3,3,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,1,1,21705,"63","2","06","3"
"14","0916","12A158","01","40129","4","1","0","01",0,2,0,0,3,1,1,1,1,1,2,2,1,1,2,2,1,2,,2,2,2,2,1,2,2,1,2,,2,2,2,1,2,2,2,1,2,,2,2,2,2,2,2,2,1,2,,2,1,2,1,2,2,2,1,2,,2,150,250,100,50,40,3,2,3,3,2,1,1,2,2,2,1,1,1,1,2,1,5,1,2,2,1,1,1,12044,"29","1","04","3"
"14","0916","12A158","01","40129","2","1","0","01",0,0,0,0,0,1,1,1,2,1,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,2,1,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,1,2,2,2,,2,0,100,0,0,30,3,3,3,3,3,2,2,2,2,2,1,9,2,2,2,1,5,1,2,2,2,1,1,10778,"72","2","02","1"
"14","0916","12A158","01","40129","3","1","0","02",2,2,0,0,3,1,1,1,1,1,2,2,1,2,2,2,1,2,,2,1,2,2,2,1,2,1,2,,2,2,2,1,2,2,2,1,2,,2,2,2,2,2,1,2,1,2,,2,2,2,1,2,2,2,1,2,,2,200,300,200,100,50,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,11919,"36","2","07","5"
"14","0916","13A158","01","40130","4","1","0","03",0,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,2,,2,2,2,2,1,1,1,2,2,,2,2,2,2,2,1,1,2,2,,2,2,2,1,1,2,2,2,2,,2,2,2,1,2,1,2,2,2,,2,0,500,100,60,40,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,1,1,1,25396,"29","1","04","3"
"14","0916","13A158","01","40130","3","1","0","01",0,0,0,0,0,1,1,1,2,1,2,2,2,1,1,2,2,2,,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,1,2,2,2,,2,2,2,2,2,2,2,2,2,,1,1,2,1,2,2,2,2,2,,2,0,0,0,0,20,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,1,5,1,2,2,2,1,1,7014,"51","1","03","3"
"14","0916","13A158","01","40130","2","1","0","01",0,0,0,0,2,1,1,1,1,1,2,2,1,1,2,2,1,2,,2,2,2,2,1,2,2,1,2,,2,2,2,1,2,2,2,1,2,,2,2,2,2,2,2,1,1,2,,2,1,2,1,2,2,2,1,2,,2,50,150,50,50,60,3,2,3,3,3,1,1,2,2,2,1,1,1,1,1,1,5,1,2,2,1,1,1,6283,"43","2","03","3"
"14","0916","13A158","01","40130","1","1","0","01",0,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,2,2,,2,0,0,0,0,35,4,3,4,4,2,1,1,1,1,2,1,1,1,1,1,2,5,1,1,2,1,1,1,5733,"56","1","04","3"
"14","0916","12B144","01","40138","2","1","0","02",0,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2,1,2,,2,2,2,1,1,2,2,1,2,,2,2,1,2,2,2,2,2,2,,2,2,1,1,2,2,2,1,2,,2,2,2,1,2,2,2,1,2,,2,100,200,50,50,25,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,5,1,2,2,1,1,1,6805,"31","2","07","5"
"14","0916","12B144","01","40138","4","1","0","01",0,0,0,0,0,1,1,2,1,1,2,2,2,2,1,2,2,2,,2,2,2,1,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,0,100,0,0,25,3,3,3,3,2,1,1,2,2,2,1,1,1,2,2,1,5,1,2,2,2,1,1,22871,"56","1","02","6"
"14","0916","12B144","01","40138","3","1","0","02",2,1,0,0,2,1,1,1,1,1,2,2,1,2,2,2,1,2,,2,2,2,1,1,2,2,1,2,,2,1,2,2,2,2,2,1,2,,2,1,2,2,2,2,2,2,2,,2,2,2,1,2,1,2,1,2,,2,200,300,70,0,50,2,2,3,3,1,1,2,2,2,2,1,1,1,1,2,1,5,1,1,2,1,1,1,13209,"42","1","03","3"
"14","0916","12B144","01","40138","1","1","0","01",0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,1,2,1,2,2,2,2,,2,2,2,1,2,1,2,2,2,,2,0,150,30,0,20,3,1,3,3,2,1,1,2,2,2,1,1,2,2,2,1,5,1,2,2,2,1,1,5666,"70","2","02","6"
"14","0916","12B145","01","40234","3","1","0","02",0,1,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,2,,2,1,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,1,2,2,2,1,2,2,2,,2,100,200,100,100,60,3,2,3,3,3,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,12305,"39","2","07","5"
"14","0916","12B145","01","40234","4","1","0","01",0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,2,2,2,,1,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,,2,0,50,0,0,30,4,3,4,4,3,1,1,1,1,2,1,1,1,1,1,2,3,1,1,2,1,1,1,5564,"65","2","06","3"
"14","0916","12B145","01","40234","2","1","0","03",0,1,0,0,5,1,1,2,1,1,2,2,2,2,2,1,2,2,,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,1,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,,2,0,150,0,50,35,4,2,4,3,2,1,1,1,1,2,1,1,1,1,1,1,5,1,2,2,1,1,1,26727,"30","2","07","5"
"14","0916","12B145","01","40234","1","1","1","01",0,0,0,0,3,1,1,1,1,1,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,,2,100,150,100,100,60,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,8270,"22","2","04","2"
"14","0916","11B142","01","40259","3","1","0","03",1,3,0,0,3,1,1,1,1,1,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,1,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,2,80,400,50,200,60,2,2,3,2,2,1,1,2,2,1,1,1,1,1,2,1,3,1,1,2,1,1,1,25022,"20","2","02","6"
"14","0916","11B142","01","40259","2","1","0","02",0,1,0,0,0,1,1,1,1,1,2,2,1,2,1,2,2,2,,2,2,2,2,2,1,2,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,100,300,0,0,50,3,2,2,3,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,20218,"32","2","02","6"
"14","0916","11B142","01","40259","1","1","0","05",0,0,0,0,0,1,1,1,1,1,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,1,2,2,2,,2,0,200,0,0,0,3,3,3,3,2,2,2,2,2,1,1,1,2,1,2,1,5,1,2,2,2,1,1,19622,"43","1","02","6"
"14","0916","11B142","01","40259","4","1","0","05",0,1,0,0,4,1,1,1,1,1,2,2,2,1,2,2,1,2,,2,1,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,2,1,2,,2,2,2,1,2,1,2,1,2,,2,50,350,50,50,35,3,1,3,3,1,1,1,2,2,1,1,1,1,1,2,1,5,1,2,2,1,1,1,25022,"24","2","03","3"
"14","0916","12B142","01","40260","4","1","0","02",0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,1,2,2,2,1,2,2,2,,2,2,2,2,2,1,2,2,2,,2,0,0,0,0,20,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,1,2,15755,"67","2","02","6"
"14","0916","12B142","01","40260","2","1","0","01",0,0,0,0,0,1,1,2,2,1,1,2,2,1,2,2,2,2,,2,2,2,1,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,2,,1,2,2,1,2,1,2,2,2,,2,0,100,20,0,30,4,3,3,4,2,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,1,1,19451,"53","1","02","6"
"14","0916","12B142","01","40260","1","1","0","01",0,2,0,0,0,1,1,1,1,1,2,1,2,2,2,1,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,2,2,1,2,2,,2,2,1,2,2,2,1,2,2,,2,2,2,2,2,1,1,2,2,,2,100,100,100,100,40,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,15898,"58","1","03","3"
"14","0916","12B142","01","40260","3","1","0","01",0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,2,2,,2,2,2,1,2,1,1,2,2,,2,2,2,1,1,1,2,2,2,,2,2,2,2,2,1,2,2,2,,2,2,2,1,2,1,2,2,2,,2,0,200,50,40,20,2,2,3,3,1,1,1,1,2,1,1,1,1,1,2,1,5,1,1,2,1,1,1,18829,"66","1","07","5"
"14","0916","12B151","01","40261","2","1","0","03",1,0,1,0,2,1,1,2,1,1,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,2,120,200,100,100,60,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18493,"27","1","07","5"
"14","0916","12B151","01","40261","4","1","0","03",0,0,0,0,15,1,1,1,1,1,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,1,2,,2,250,600,0,150,60,3,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,5,1,2,2,2,1,1,24657,"25","1","04","3"
"14","0916","12B151","01","40261","1","1","0","01",0,0,0,0,2,1,1,1,1,1,2,2,2,1,2,1,2,2,,2,1,2,2,1,2,1,2,2,,2,2,1,2,1,1,2,2,2,,2,2,2,2,1,2,1,2,2,,2,1,2,2,2,2,2,2,2,,2,0,0,0,0,25,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,6424,"48","2","07","5"
"14","0916","12B151","01","40261","3","1","0","01",0,1,0,0,5,1,1,1,1,1,2,2,2,2,2,1,2,2,,2,2,2,1,2,2,2,2,2,,2,2,2,1,2,2,1,2,2,,2,2,2,1,1,2,2,2,2,,2,2,2,2,2,1,2,1,2,,2,100,80,100,80,50,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,5,1,1,2,1,1,1,13621,"45","1","08","2"
"14","0916","12A156","01","40287","4","1","0","01",0,1,0,0,3,1,1,1,1,1,2,2,2,1,2,2,1,2,,2,2,2,2,1,2,2,1,2,,2,1,2,1,2,1,2,2,2,,2,1,2,2,2,2,2,1,2,,2,1,2,1,2,2,2,1,2,,2,100,200,100,100,30,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,18805,"48","1","07","1"
"14","0916","12A156","01","40287","2","1","0","01",0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,1,2,,2,2,2,1,1,2,2,1,2,,2,2,2,2,2,1,1,2,2,,2,2,2,2,2,2,1,1,2,,2,2,2,1,2,2,2,1,2,,2,0,100,0,0,30,4,2,3,3,3,1,1,2,2,1,1,1,1,1,9,1,5,1,2,2,1,1,1,17021,"31","1","03","3"
"14","0916","12A156","01","40287","3","1","0","01",0,1,2,0,5,1,1,1,1,1,1,2,1,2,2,2,1,2,,2,2,2,1,1,2,2,1,2,,2,2,2,2,2,2,2,1,2,,2,1,2,2,2,2,2,1,2,,2,1,2,1,2,2,2,1,2,,2,150,350,100,100,50,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,17753,"43","1","07","5"
