Entidad federativa de registro,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Aguascalientes,5,6,6,7,4,4,4,3,4,6
Baja California,33,48,47,25,17,23,21,25,32,60
Baja California Sur,6,5,8,6,5,7,12,24,30,91
Campeche,7,7,6,6,9,8,9,7,10,8
Coahuila de Zaragoza,7,10,16,26,41,28,16,11,8,9
Colima,9,9,20,24,39,32,20,31,82,113
Chiapas,6,11,4,4,8,10,9,10,10,11
Chihuahua,76,105,182,126,77,59,48,42,47,59
Ciudad de México,10,11,12,12,12,12,12,12,14,15
Durango,26,61,66,63,48,27,20,11,12,11
Guanajuato,5,9,8,11,12,12,14,17,21,38
Guerrero,30,54,45,70,76,65,49,68,71,71
Hidalgo,3,6,4,8,6,6,7,8,7,11
Jalisco,8,9,14,20,20,19,13,16,16,20
México,10,12,14,17,18,20,17,16,16,18
Michoacán de Ocampo,15,21,16,19,18,20,20,19,29,36
Morelos,12,15,27,25,36,34,23,24,33,32
Nayarit,15,18,49,52,25,19,14,12,12,36
Nuevo León,5,7,20,45,38,19,11,9,12,13
Oaxaca,16,16,19,17,18,19,19,20,19,21
Puebla,6,6,6,7,8,9,9,10,12,17
Querétaro,4,5,4,6,6,6,5,7,7,11
Quintana Roo,11,11,11,12,11,11,8,9,12,27
San Luis Potosí,8,8,14,14,17,11,10,10,11,18
Sinaloa,30,51,85,69,48,42,39,37,43,53
Sonora,17,21,27,20,19,23,23,20,19,25
Tabasco,7,8,9,10,8,11,10,16,18,18
Tamaulipas,8,10,28,32,46,25,26,19,22,32
Tlaxcala,5,7,5,7,6,7,7,6,7,10
Veracruz de Ignacio de la Llave,4,9,6,13,13,10,11,13,13,19
Yucatán,3,2,2,3,2,2,2,3,3,2
Zacatecas,7,9,9,19,30,28,13,21,36,43
Estados Unidos Mexicanos,13,18,23,24,22,19,17,17,20,25
