cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8a,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8a,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8a,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8a,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8a,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9m,p9m_a,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
14,0517,11B156,01,40015,2,1,0,02,0,0,0,0,0,2,1,1,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,0,0,0,0,40,4,3,4,4,3,1,1,1,2,2,1,2,2,2,2,2,4, ,1,2,2,2,1,1,13007,44,2,03,3
14,0517,11B156,01,40015,4,1,0,01,0,0,0,0,0,1,1,2,1,1,2,2,1,2,2,1,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,1,2,2, ,2,2,2,1,2,2,2,2,2, ,2,0,100,0,50,50,4,3,4,3,3,1,1,1,1,2,1,1,1,1,1,1,2, ,1,2,2,1,1,1,7296,42,1,03,3
14,0517,11B156,01,40015,3,1,0,01,0,2,0,0,3,1,1,1,1,1,2,2,2,1,2,1,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,1,2,2, ,2,1,1,2,2,2,2,1,2, ,2,100,200,50,100,60,3,2,3,3,1,1,1,1,2,2,1,1,1,1,1,1,2, ,1,1,1,1,1,1,15901,51,1,03,3
14,0517,11B156,01,40015,1,1,0,01,0,1,0,0,2,1,1,2,1,1,2,2,1,2,2,1,2,2, ,2,2,2,2,1,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,1,2,2,2,2,2, ,2,1,2,1,2,2,2,2,2, ,2,50,50,0,50,60,3,2,4,3,3,2,2,2,1,2,1,2,2,2,2,2,2, ,1,1,1,2,1,1,14591,44,1,03,3
14,0517,12B156,01,40018,1,1,0,02,1,0,0,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2, ,2,1,2,2,1,2,1,2,2, ,2,1,2,2,2,1,2,2,2, ,2,1,2,2,2,1,1,2,2, ,2,1,2,2,2,2,2,2,2, ,2,200,100,100,100,50,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,4, ,1,1,1,1,1,1,34339,65,2,04,3
14,0517,12B156,01,40018,4,1,0,02,0,1,1,0,1,1,1,1,2,1,2,2,2,2,1,2,2,2, ,2,1,2,2,1,1,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,1,2,2,1,1,2,2, ,2,100,50,50,0,40,3,3,3,4,3,2,2,2,2,2,1,2,2,2,2,2,4, ,1,1,1,1,1,1,11505,51,2,02,6
14,0517,12B156,01,40018,2,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,1,2,2,2,2,2,2, ,2,30,0,0,50,30,3,3,4,3,3,1,1,2,2,2,1,1,2,2,2,2,2, ,1,2,2,2,1,1,15935,67,1,02,2
14,0517,12B156,01,40018,3,1,0,02,0,0,0,0,10,1,1,1,1,1,1,2,2,2,1,2,2,2, ,2,2,2,1,2,2,2,1,2, ,2,2,2,1,2,2,2,2,2, ,2,1,2,2,2,2,2,1,2, ,2,1,2,2,2,2,1,1,2, ,2,500,300,100,500,100,3,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,15100,26,2,04,3
14,0517,13A161,01,40020,1,1,0,02,0,2,0,0,6,1,1,1,1,1,2,2,1,1,2,1,2,2, ,2,2,2,2,1,2,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,1,2,1,2,2, ,2,2,2,1,2,2,2,1,2, ,2,400,1200,200,100,60,2,3,3,1,1,1,1,1,2,2,1,1,1,2,2,1,2, ,1,1,1,1,1,1,12349,49,2,07,5
14,0517,13A161,01,40020,4,1,0,02,1,1,0,0,3,1,1,1,1,1,2,2,2,2,2,1,1,2, ,2,2,2,2,1,2,1,1,2, ,2,2,2,1,2,2,2,1,2, ,2,1,2,1,2,2,1,1,2, ,2,1,1,2,2,2,2,1,2, ,2,300,150,100,300,150,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,14179,36,2,07,5
14,0517,13A161,01,40020,3,1,0,02,0,0,0,0,0,2,1,1,2,1,2,2,2,2,2,1,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,1,2,1,2,2,2, ,2,40,100,0,0,60,3,3,3,4,3,2,2,2,2,2,1,2,2,1,2,1,2, ,1,2,2,2,2,1,17333,45,1,03,3
14,0517,13A161,01,40020,2,1,0,01,3,1,2,1,3,1,1,1,1,1,2,2,2,2,1,1,2,2, ,2,1,2,2,1,2,1,2,2, ,2,2,1,1,2,2,1,2,2, ,2,1,2,1,2,2,2,2,2, ,2,1,1,2,2,1,2,2,2, ,2,300,1500,200,200,60,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1, ,1,1,1,1,1,1,5948,64,2,02,6
14,0517,11A152,01,40149,4,1,0,02,0,2,1,0,3,1,1,1,1,1,2,2,1,2,2,1,2,2, ,2,1,2,2,1,1,1,2,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,1,2,2,2,2,2, ,2,1,2,2,2,1,1,2,2, ,2,150,200,50,100,60,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,1,1,1,1,1,32726,47,2,02,6
