upm,viv_sel,hogar,n_ren,pmvi_1,pmvi_2,pmvi_3,pm1_1,pm1_2,pm1_3,pm1_4,pm1_5_1,pm1_5_2,pm1_5_3,pm1_5_4,pm1_6_1,pm1_6_2,pm1_6_3,pm1_6_4,pm1_6_5,pm1_6_6,pm1_6_7,pm1_6_8,pm1_6_9,pm8_1_1,pm8_1_2,pm8_1_3,pm8_1_4,pm8_1_5,pm8_1_6,pm8_1_7,pm8_2,pm8_3,pm8_4_1,pm8_5_1_1,pm8_5_1_4,pm8_5_1_5,pm8_5_1_6,pm8_4_2,pm8_5_2_1,pm8_5_2_4,pm8_5_2_5,pm8_5_2_6,pm8_4_3,pm8_5_3_1,pm8_5_3_4,pm8_5_3_5,pm8_5_3_6,pm8_4_4,pm8_5_4_1,pm8_5_4_4,pm8_5_4_5,pm8_5_4_6,pm8_4_5,pm8_5_5_1,pm8_5_5_4,pm8_5_5_5,pm8_5_5_6,pm8_6_01,pm8_6_02,pm8_6_03,pm8_6_04,pm8_6_05,pm8_6_06,pm8_6_07,pm8_6_08,pm8_6_09,pm8_6_10,pm8_7_1,pm8_7_2,pm8_7_3,pm8_7_4,pm8_7_5,pm8_7_6,pm8_7_7,pm8_7_8,factor_per,upm_dis,est_dis,tloc,estrato,ent,sexo,edad
100284,4,1,1,,,,3,4,7,9,1,1,1,2,0,0,0,0,1,0,0,0,0,3,2,2,2,2,2,2,,,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,,,,,2,,,,,8,8,8,8,8,8,8,8,8,8,2,1,2,2,2,1,2,2,111,15,2,1,3,1,2,20
100351,5,1,1,1,2,,2,1,6,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,613,21,2,1,3,1,1,82
100819,4,1,3,,,,2,5,7,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,2,2,2,2,,,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,162,63,2,1,3,1,2,17
101003,3,1,1,,,,3,5,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,2,1,2,2,2,1,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,117,82,2,1,3,1,1,35
101003,3,1,2,,,,3,3,5,1,1,2,1,9,0,0,0,0,0,1,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,117,82,2,1,3,1,2,36
200507,4,1,2,,,,2,3,1,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,528,198,17,1,2,2,2,48
200742,3,1,2,,,,3,5,6,2,2,2,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,,1,1,1,,1,1,2,,2,1,1,2,,2,2,,,,,2,,,,,1,1,2,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,577,203,18,1,3,2,1,40
200794,1,1,1,1,2,,1,2,6,1,1,1,2,1,0,0,0,0,1,0,0,0,0,2,2,3,2,,1,2,5,6,2,,,,,2,,,,,1,2,2,,1,2,,,,,2,,,,,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,293,204,18,1,3,2,1,49
200794,1,1,2,1,2,,2,6,1,1,1,2,2,2,0,0,0,0,1,0,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,293,204,18,1,3,2,2,48
200851,5,1,2,1,2,,3,5,4,1,2,2,1,2,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2622,207,17,1,2,2,2,35
201999,3,1,1,,,,1,5,1,2,1,2,1,1,0,0,0,0,0,0,0,1,0,3,2,2,3,,3,2,,,2,,,,,1,2,2,,2,1,2,2,,2,1,2,2,,2,2,,,,,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,1,3,3,974,235,15,1,3,2,1,50
202618,4,1,1,1,1,,4,2,3,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,6186,248,14,1,2,2,2,23
202831,4,1,3,,,,1,4,2,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,596,254,14,1,2,2,1,15
202966,1,1,2,1,2,,3,5,5,1,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,365,257,15,1,3,2,1,49
203808,1,1,1,1,2,,4,6,5,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,2,2,2,,2,2,1,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,454,279,9,1,2,2,2,70
203914,4,1,1,1,2,,1,7,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2,2,2,2,,3,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,257,283,9,1,2,2,1,74
204094,1,1,1,,,,3,5,7,1,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3202,286,9,1,2,2,1,59
204094,1,1,2,,,,3,5,7,1,2,2,1,2,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3202,286,9,1,2,2,2,34
