state,total_votes,winner
Aguascalientes,189027,EPN
Baja California,446192,EPN
Baja California Sur,103396,EPN
Campeche,136036,EPN
Coahuila,453044,EPN
Colima,122315,EPN
Chiapas,910478,EPN
Chihuahua,566705,EPN
Distrito Federal,2532981,AMLO
Durango,279020,EPN
Guanajuato,935197,JVM
Guerrero,632564,AMLO
Hidalgo,514006,EPN
Jalisco,1332333,EPN
M�xico,2923003,EPN
Michoac�n,708057,EPN
Morelos,360212,AMLO
Nayarit,211844,EPN
Nuevo Le�n,786652,JVM
Oaxaca,684005,AMLO
Puebla,853320,AMLO
Quer�taro,326650,EPN
Quintana Roo,216517,AMLO
San Luis Potos�,426425,EPN
Sinaloa,531120,EPN
Sonora,413033,EPN
Tabasco,628188,AMLO
Tamaulipas,580417,JVM
Tlaxcala,207571,AMLO
Veracruz,1180147,EPN
Yucat�n,432566,EPN
Zacatecas,334938,EPN
