estado,votos_Anaya,votos_Meade,votos_Bronco,votos_AMLO
AGUASCALIENTES,178988,103639,40299,222528
BAJA CALIFORNIA,275503,124225,89823,918939
BAJA CALIFORNIA SUR,56794,28202,16766,193842
CAMPECHE,54417,96584,11194,275262
CHIAPAS,198117,562863,39607,1485699
CHIHUAHUA,425919,240725,132242,643652
CIUDAD DE M�XICO,1292623,652073,223261,3118478
COAHUILA,307590,358279,71051,609362
COLIMA,56428,62004,15753,197316
DURANGO,187947,141291,46009,340829
GUANAJUATO,940133,381692,223214,707222
GUERRERO,217838,285799,24531,1018163
HIDALGO,188028,257548,59630,850863
JALISCO,1179300,509157,246924,1461348
MICHOAC�N,443805,335854,122469,991154
MORELOS,142553,99506,60083,638689
M�XICO,1549824,1548662,383684,4373267
NAYARIT,79818,66447,10382,315816
NUEVO LE�N,703866,315379,360050,748104
OAXACA,221686,342108,39020,1260562
PUEBLA,618397,490737,113461,1754596
QUER�TARO,347664,150927,72905,424162
QUINTANA ROO,116031,76758,29441,488434
SAN LUIS POTOS�,334763,260211,82956,527546
SINALOA,163956,234416,29173,834001
SONORA,167273,181059,63800,651806
TABASCO,91342,107538,9749,961710
TAMAULIPAS,475201,228386,110246,786210
TLAXCALA,66729,74744,25941,433127
VERACRUZ,1050599,471313,132737,2059209
YUCAT�N,320144,324055,39111,455216
ZACATECAS,156844,177672,36220,366371
